year,month,decimal_date,co2,quality
1958,March,1958.208,315.71,1
1958,April,1958.292,317.45,1
1958,May,1958.375,317.5,1
1958,June,1958.458,-99.99,0
1958,July,1958.542,315.86,1
1958,August,1958.625,314.93,1
1958,September,1958.708,313.2,1
1958,October,1958.792,-99.99,0
1958,November,1958.875,313.33,1
1958,December,1958.958,314.67,1
1959,January,1959.042,315.62,1
1959,February,1959.125,316.38,1
1959,March,1959.208,316.71,1
1959,April,1959.292,317.72,1
1959,May,1959.375,318.29,1
1959,June,1959.458,318.15,1
1959,July,1959.542,316.54,1
1959,August,1959.625,314.8,1
1959,September,1959.708,313.84,1
1959,October,1959.792,313.26,1
1959,November,1959.875,314.8,1
1959,December,1959.958,315.58,1
1960,January,1960.042,316.43,1
1960,February,1960.125,316.97,1
1960,March,1960.208,317.58,1
1960,April,1960.292,319.02,1
1960,May,1960.375,320.03,1
1960,June,1960.458,319.59,1
1960,July,1960.542,318.18,1
1960,August,1960.625,315.91,1
1960,September,1960.708,314.16,1
1960,October,1960.792,313.83,1
1960,November,1960.875,315,1
1960,December,1960.958,316.19,1
1961,January,1961.042,316.93,1
1961,February,1961.125,317.7,1
1961,March,1961.208,318.54,1
1961,April,1961.292,319.48,1
1961,May,1961.375,320.58,1
1961,June,1961.458,319.77,1
1961,July,1961.542,318.57,1
1961,August,1961.625,316.79,1
1961,September,1961.708,314.8,1
1961,October,1961.792,315.38,1
1961,November,1961.875,316.1,1
1961,December,1961.958,317.01,1
1962,January,1962.042,317.94,1
1962,February,1962.125,318.56,1
1962,March,1962.208,319.68,1
1962,April,1962.292,320.63,1
1962,May,1962.375,321.01,1
1962,June,1962.458,320.55,1
1962,July,1962.542,319.58,1
1962,August,1962.625,317.4,1
1962,September,1962.708,316.26,1
1962,October,1962.792,315.42,1
1962,November,1962.875,316.69,1
1962,December,1962.958,317.69,1
1963,January,1963.042,318.74,1
1963,February,1963.125,319.08,1
1963,March,1963.208,319.86,1
1963,April,1963.292,321.39,1
1963,May,1963.375,322.25,1
1963,June,1963.458,321.47,1
1963,July,1963.542,319.74,1
1963,August,1963.625,317.77,1
1963,September,1963.708,316.21,1
1963,October,1963.792,315.99,1
1963,November,1963.875,317.12,1
1963,December,1963.958,318.31,1
1964,January,1964.042,319.57,1
1964,February,1964.125,-99.99,0
1964,March,1964.208,-99.99,0
1964,April,1964.292,-99.99,0
1964,May,1964.375,322.25,1
1964,June,1964.458,321.89,1
1964,July,1964.542,320.44,1
1964,August,1964.625,318.7,1
1964,September,1964.708,316.7,1
1964,October,1964.792,316.79,1
1964,November,1964.875,317.79,1
1964,December,1964.958,318.71,1
1965,January,1965.042,319.44,1
1965,February,1965.125,320.44,1
1965,March,1965.208,320.89,1
1965,April,1965.292,322.13,1
1965,May,1965.375,322.16,1
1965,June,1965.458,321.87,1
1965,July,1965.542,321.39,1
1965,August,1965.625,318.81,1
1965,September,1965.708,317.81,1
1965,October,1965.792,317.3,1
1965,November,1965.875,318.87,1
1965,December,1965.958,319.42,1
1966,January,1966.042,320.62,1
1966,February,1966.125,321.59,1
1966,March,1966.208,322.39,1
1966,April,1966.292,323.87,1
1966,May,1966.375,324.01,1
1966,June,1966.458,323.75,1
1966,July,1966.542,322.39,1
1966,August,1966.625,320.37,1
1966,September,1966.708,318.64,1
1966,October,1966.792,318.1,1
1966,November,1966.875,319.79,1
1966,December,1966.958,321.08,1
1967,January,1967.042,322.07,1
1967,February,1967.125,322.5,1
1967,March,1967.208,323.04,1
1967,April,1967.292,324.42,1
1967,May,1967.375,325,1
1967,June,1967.458,324.09,1
1967,July,1967.542,322.55,1
1967,August,1967.625,320.92,1
1967,September,1967.708,319.31,1
1967,October,1967.792,319.31,1
1967,November,1967.875,320.72,1
1967,December,1967.958,321.96,1
1968,January,1968.042,322.57,1
1968,February,1968.125,323.15,1
1968,March,1968.208,323.89,1
1968,April,1968.292,325.02,1
1968,May,1968.375,325.57,1
1968,June,1968.458,325.36,1
1968,July,1968.542,324.14,1
1968,August,1968.625,322.03,1
1968,September,1968.708,320.41,1
1968,October,1968.792,320.25,1
1968,November,1968.875,321.31,1
1968,December,1968.958,322.84,1
1969,January,1969.042,324,1
1969,February,1969.125,324.42,1
1969,March,1969.208,325.64,1
1969,April,1969.292,326.66,1
1969,May,1969.375,327.34,1
1969,June,1969.458,326.76,1
1969,July,1969.542,325.88,1
1969,August,1969.625,323.67,1
1969,September,1969.708,322.38,1
1969,October,1969.792,321.78,1
1969,November,1969.875,322.85,1
1969,December,1969.958,324.11,1
1970,January,1970.042,325.03,1
1970,February,1970.125,325.99,1
1970,March,1970.208,326.87,1
1970,April,1970.292,328.13,1
1970,May,1970.375,328.07,1
1970,June,1970.458,327.66,1
1970,July,1970.542,326.35,1
1970,August,1970.625,324.69,1
1970,September,1970.708,323.1,1
1970,October,1970.792,323.16,1
1970,November,1970.875,323.98,1
1970,December,1970.958,325.13,1
1971,January,1971.042,326.17,1
1971,February,1971.125,326.68,1
1971,March,1971.208,327.18,1
1971,April,1971.292,327.78,1
1971,May,1971.375,328.92,1
1971,June,1971.458,328.57,1
1971,July,1971.542,327.34,1
1971,August,1971.625,325.46,1
1971,September,1971.708,323.36,1
1971,October,1971.792,323.57,1
1971,November,1971.875,324.8,1
1971,December,1971.958,326.01,1
1972,January,1972.042,326.77,1
1972,February,1972.125,327.63,1
1972,March,1972.208,327.75,1
1972,April,1972.292,329.72,1
1972,May,1972.375,330.07,1
1972,June,1972.458,329.09,1
1972,July,1972.542,328.05,1
1972,August,1972.625,326.32,1
1972,September,1972.708,324.93,1
1972,October,1972.792,325.06,1
1972,November,1972.875,326.5,1
1972,December,1972.958,327.55,1
1973,January,1973.042,328.54,1
1973,February,1973.125,329.56,1
1973,March,1973.208,330.3,1
1973,April,1973.292,331.5,1
1973,May,1973.375,332.48,1
1973,June,1973.458,332.07,1
1973,July,1973.542,330.87,1
1973,August,1973.625,329.31,1
1973,September,1973.708,327.51,1
1973,October,1973.792,327.18,1
1973,November,1973.875,328.16,1
1973,December,1973.958,328.64,1
1974,January,1974.042,329.35,1
1974,February,1974.125,330.71,1
1974,March,1974.208,331.48,1
1974,April,1974.292,332.65,1
1974,May,1974.375,333.19,1
1974,June,1974.458,332.16,1
1974,July,1974.542,331.07,1
1974,August,1974.625,329.12,1
1974,September,1974.708,327.32,1
1974,October,1974.792,327.28,1
1974,November,1974.875,328.3,1
1974,December,1974.958,329.58,1
1975,January,1975.042,330.73,1
1975,February,1975.125,331.46,1
1975,March,1975.208,331.9,1
1975,April,1975.292,333.17,1
1975,May,1975.375,333.94,1
1975,June,1975.458,333.45,1
1975,July,1975.542,331.97,1
1975,August,1975.625,329.95,1
1975,September,1975.708,328.5,1
1975,October,1975.792,328.34,1
1975,November,1975.875,329.37,1
1975,December,1975.958,-99.99,0
1976,January,1976.042,331.59,1
1976,February,1976.125,332.75,1
1976,March,1976.208,333.52,1
1976,April,1976.292,334.64,1
1976,May,1976.375,334.77,1
1976,June,1976.458,334,1
1976,July,1976.542,333.06,1
1976,August,1976.625,330.68,1
1976,September,1976.708,328.95,1
1976,October,1976.792,328.75,1
1976,November,1976.875,330.15,1
1976,December,1976.958,331.62,1
1977,January,1977.042,332.66,1
1977,February,1977.125,333.13,1
1977,March,1977.208,334.95,1
1977,April,1977.292,336.13,1
1977,May,1977.375,336.93,1
1977,June,1977.458,336.17,1
1977,July,1977.542,334.88,1
1977,August,1977.625,332.56,1
1977,September,1977.708,331.29,1
1977,October,1977.792,331.27,1
1977,November,1977.875,332.41,1
1977,December,1977.958,333.6,1
1978,January,1978.042,334.95,1
1978,February,1978.125,335.25,1
1978,March,1978.208,336.66,1
1978,April,1978.292,337.69,1
1978,May,1978.375,338.03,1
1978,June,1978.458,338.01,1
1978,July,1978.542,336.41,1
1978,August,1978.625,334.41,1
1978,September,1978.708,332.37,1
1978,October,1978.792,332.41,1
1978,November,1978.875,333.75,1
1978,December,1978.958,334.9,1
1979,January,1979.042,336.14,1
1979,February,1979.125,336.69,1
1979,March,1979.208,338.27,1
1979,April,1979.292,338.95,1
1979,May,1979.375,339.21,1
1979,June,1979.458,339.26,1
1979,July,1979.542,337.54,1
1979,August,1979.625,335.75,1
1979,September,1979.708,333.98,1
1979,October,1979.792,334.19,1
1979,November,1979.875,335.31,1
1979,December,1979.958,336.81,1
1980,January,1980.042,337.9,1
1980,February,1980.125,338.34,1
1980,March,1980.208,340.01,1
1980,April,1980.292,340.93,1
1980,May,1980.375,341.48,1
1980,June,1980.458,341.33,1
1980,July,1980.542,339.4,1
1980,August,1980.625,337.7,1
1980,September,1980.708,336.19,1
1980,October,1980.792,336.15,1
1980,November,1980.875,337.27,1
1980,December,1980.958,338.32,1
1981,January,1981.042,339.29,1
1981,February,1981.125,340.55,1
1981,March,1981.208,341.61,1
1981,April,1981.292,342.53,1
1981,May,1981.375,343.03,1
1981,June,1981.458,342.54,1
1981,July,1981.542,340.78,1
1981,August,1981.625,338.44,1
1981,September,1981.708,336.95,1
1981,October,1981.792,337.08,1
1981,November,1981.875,338.58,1
1981,December,1981.958,339.88,1
1982,January,1982.042,340.96,1
1982,February,1982.125,341.73,1
1982,March,1982.208,342.81,1
1982,April,1982.292,343.97,1
1982,May,1982.375,344.63,1
1982,June,1982.458,343.79,1
1982,July,1982.542,342.32,1
1982,August,1982.625,340.09,1
1982,September,1982.708,338.28,1
1982,October,1982.792,338.29,1
1982,November,1982.875,339.6,1
1982,December,1982.958,340.9,1
1983,January,1983.042,341.68,1
1983,February,1983.125,342.9,1
1983,March,1983.208,343.33,1
1983,April,1983.292,345.25,1
1983,May,1983.375,346.03,1
1983,June,1983.458,345.63,1
1983,July,1983.542,344.19,1
1983,August,1983.625,342.27,1
1983,September,1983.708,340.35,1
1983,October,1983.792,340.38,1
1983,November,1983.875,341.59,1
1983,December,1983.958,343.05,1
1984,January,1984.042,344.1,1
1984,February,1984.125,344.79,1
1984,March,1984.208,345.52,1
1984,April,1984.292,-99.99,0
1984,May,1984.375,347.63,1
1984,June,1984.458,346.98,1
1984,July,1984.542,345.53,1
1984,August,1984.625,343.55,1
1984,September,1984.708,341.4,1
1984,October,1984.792,341.67,1
1984,November,1984.875,343.1,1
1984,December,1984.958,344.7,1
1985,January,1985.042,345.21,1
1985,February,1985.125,346.16,1
1985,March,1985.208,347.74,1
1985,April,1985.292,348.34,1
1985,May,1985.375,349.06,1
1985,June,1985.458,348.38,1
1985,July,1985.542,346.71,1
1985,August,1985.625,345.02,1
1985,September,1985.708,343.27,1
1985,October,1985.792,343.13,1
1985,November,1985.875,344.49,1
1985,December,1985.958,345.88,1
1986,January,1986.042,346.56,1
1986,February,1986.125,347.28,1
1986,March,1986.208,348.01,1
1986,April,1986.292,349.77,1
1986,May,1986.375,350.38,1
1986,June,1986.458,349.93,1
1986,July,1986.542,348.16,1
1986,August,1986.625,346.08,1
1986,September,1986.708,345.22,1
1986,October,1986.792,344.51,1
1986,November,1986.875,345.93,1
1986,December,1986.958,347.22,1
1987,January,1987.042,348.52,1
1987,February,1987.125,348.73,1
1987,March,1987.208,349.73,1
1987,April,1987.292,351.31,1
1987,May,1987.375,352.09,1
1987,June,1987.458,351.53,1
1987,July,1987.542,350.11,1
1987,August,1987.625,348.08,1
1987,September,1987.708,346.52,1
1987,October,1987.792,346.59,1
1987,November,1987.875,347.96,1
1987,December,1987.958,349.16,1
1988,January,1988.042,350.39,1
1988,February,1988.125,351.64,1
1988,March,1988.208,352.4,1
1988,April,1988.292,353.69,1
1988,May,1988.375,354.21,1
1988,June,1988.458,353.72,1
1988,July,1988.542,352.69,1
1988,August,1988.625,350.4,1
1988,September,1988.708,348.92,1
1988,October,1988.792,349.13,1
1988,November,1988.875,350.2,1
1988,December,1988.958,351.41,1
1989,January,1989.042,352.91,1
1989,February,1989.125,353.27,1
1989,March,1989.208,353.96,1
1989,April,1989.292,355.64,1
1989,May,1989.375,355.86,1
1989,June,1989.458,355.37,1
1989,July,1989.542,353.99,1
1989,August,1989.625,351.81,1
1989,September,1989.708,350.05,1
1989,October,1989.792,350.25,1
1989,November,1989.875,351.49,1
1989,December,1989.958,352.85,1
1990,January,1990.042,353.8,1
1990,February,1990.125,355.04,1
1990,March,1990.208,355.73,1
1990,April,1990.292,356.32,1
1990,May,1990.375,357.32,1
1990,June,1990.458,356.34,1
1990,July,1990.542,354.84,1
1990,August,1990.625,353.01,1
1990,September,1990.708,351.31,1
1990,October,1990.792,351.62,1
1990,November,1990.875,353.07,1
1990,December,1990.958,354.33,1
1991,January,1991.042,354.84,1
1991,February,1991.125,355.73,1
1991,March,1991.208,357.23,1
1991,April,1991.292,358.66,1
1991,May,1991.375,359.13,1
1991,June,1991.458,358.13,1
1991,July,1991.542,356.19,1
1991,August,1991.625,353.85,1
1991,September,1991.708,352.25,1
1991,October,1991.792,352.35,1
1991,November,1991.875,353.81,1
1991,December,1991.958,355.12,1
1992,January,1992.042,356.25,1
1992,February,1992.125,357.11,1
1992,March,1992.208,357.86,1
1992,April,1992.292,359.09,1
1992,May,1992.375,359.59,1
1992,June,1992.458,359.33,1
1992,July,1992.542,357.01,1
1992,August,1992.625,354.94,1
1992,September,1992.708,352.95,1
1992,October,1992.792,353.32,1
1992,November,1992.875,354.32,1
1992,December,1992.958,355.57,1
1993,January,1993.042,357,1
1993,February,1993.125,357.31,1
1993,March,1993.208,358.47,1
1993,April,1993.292,359.27,1
1993,May,1993.375,360.19,1
1993,June,1993.458,359.52,1
1993,July,1993.542,357.33,1
1993,August,1993.625,355.64,1
1993,September,1993.708,354.03,1
1993,October,1993.792,354.12,1
1993,November,1993.875,355.41,1
1993,December,1993.958,356.91,1
1994,January,1994.042,358.24,1
1994,February,1994.125,358.92,1
1994,March,1994.208,359.99,1
1994,April,1994.292,361.23,1
1994,May,1994.375,361.65,1
1994,June,1994.458,360.81,1
1994,July,1994.542,359.38,1
1994,August,1994.625,357.46,1
1994,September,1994.708,355.73,1
1994,October,1994.792,356.08,1
1994,November,1994.875,357.53,1
1994,December,1994.958,358.98,1
1995,January,1995.042,359.92,1
1995,February,1995.125,360.86,1
1995,March,1995.208,361.83,1
1995,April,1995.292,363.3,1
1995,May,1995.375,363.69,1
1995,June,1995.458,363.19,1
1995,July,1995.542,361.64,1
1995,August,1995.625,359.12,1
1995,September,1995.708,358.17,1
1995,October,1995.792,357.99,1
1995,November,1995.875,359.45,1
1995,December,1995.958,360.68,1
1996,January,1996.042,362.07,1
1996,February,1996.125,363.24,1
1996,March,1996.208,364.17,1
1996,April,1996.292,364.57,1
1996,May,1996.375,365.13,1
1996,June,1996.458,364.92,1
1996,July,1996.542,363.55,1
1996,August,1996.625,361.38,1
1996,September,1996.708,359.54,1
1996,October,1996.792,359.58,1
1996,November,1996.875,360.89,1
1996,December,1996.958,362.24,1
1997,January,1997.042,363.09,1
1997,February,1997.125,364.03,1
1997,March,1997.208,364.51,1
1997,April,1997.292,366.35,1
1997,May,1997.375,366.64,1
1997,June,1997.458,365.59,1
1997,July,1997.542,364.31,1
1997,August,1997.625,362.25,1
1997,September,1997.708,360.29,1
1997,October,1997.792,360.82,1
1997,November,1997.875,362.49,1
1997,December,1997.958,364.38,1
1998,January,1998.042,365.27,1
1998,February,1998.125,365.98,1
1998,March,1998.208,367.24,1
1998,April,1998.292,368.66,1
1998,May,1998.375,369.42,1
1998,June,1998.458,368.99,1
1998,July,1998.542,367.82,1
1998,August,1998.625,365.95,1
1998,September,1998.708,364.02,1
1998,October,1998.792,364.4,1
1998,November,1998.875,365.52,1
1998,December,1998.958,367.13,1
1999,January,1999.042,368.18,1
1999,February,1999.125,369.07,1
1999,March,1999.208,369.68,1
1999,April,1999.292,370.99,1
1999,May,1999.375,370.96,1
1999,June,1999.458,370.3,1
1999,July,1999.542,369.45,1
1999,August,1999.625,366.9,1
1999,September,1999.708,364.81,1
1999,October,1999.792,365.37,1
1999,November,1999.875,366.72,1
1999,December,1999.958,368.1,1
2000,January,2000.042,369.29,1
2000,February,2000.125,369.55,1
2000,March,2000.208,370.6,1
2000,April,2000.292,371.82,1
2000,May,2000.375,371.58,1
2000,June,2000.458,371.7,1
2000,July,2000.542,369.86,1
2000,August,2000.625,368.13,1
2000,September,2000.708,367,1
2000,October,2000.792,367.03,1
2000,November,2000.875,368.37,1
2000,December,2000.958,369.67,1
2001,January,2001.042,370.59,1
2001,February,2001.125,371.51,1
2001,March,2001.208,372.43,1
2001,April,2001.292,373.37,1
2001,May,2001.375,373.85,1
2001,June,2001.458,373.22,1
2001,July,2001.542,371.5,1
2001,August,2001.625,369.61,1
2001,September,2001.708,368.18,1
2001,October,2001.792,368.45,1
2001,November,2001.875,369.76,1
2001,December,2001.958,371.24,1
2002,January,2002.042,372.53,1
2002,February,2002.125,373.2,1
2002,March,2002.208,374.12,1
2002,April,2002.292,375.02,1
2002,May,2002.375,375.76,1
2002,June,2002.458,375.52,1
2002,July,2002.542,374.01,1
2002,August,2002.625,371.85,1
2002,September,2002.708,370.75,1
2002,October,2002.792,370.55,1
2002,November,2002.875,372.25,1
2002,December,2002.958,373.79,1
2003,January,2003.042,374.88,1
2003,February,2003.125,375.64,1
2003,March,2003.208,376.45,1
2003,April,2003.292,377.73,1
2003,May,2003.375,378.6,1
2003,June,2003.458,378.28,1
2003,July,2003.542,376.7,1
2003,August,2003.625,374.38,1
2003,September,2003.708,373.17,1
2003,October,2003.792,373.15,1
2003,November,2003.875,374.66,1
2003,December,2003.958,375.99,1
2004,January,2004.042,377,1
2004,February,2004.125,377.87,1
2004,March,2004.208,378.88,1
2004,April,2004.292,380.35,1
2004,May,2004.375,380.62,1
2004,June,2004.458,379.69,1
2004,July,2004.542,377.47,1
2004,August,2004.625,376.01,1
2004,September,2004.708,374.25,1
2004,October,2004.792,374.46,1
2004,November,2004.875,376.16,1
2004,December,2004.958,377.51,1
2005,January,2005.042,378.46,1
2005,February,2005.125,379.73,1
2005,March,2005.208,380.77,1
2005,April,2005.292,382.29,1
2005,May,2005.375,382.45,1
2005,June,2005.458,382.21,1
2005,July,2005.542,380.74,1
2005,August,2005.625,378.74,1
2005,September,2005.708,376.7,1
2005,October,2005.792,377,1
2005,November,2005.875,378.35,1
2005,December,2005.958,380.11,1
2006,January,2006.042,381.38,1
2006,February,2006.125,382.2,1
2006,March,2006.208,382.67,1
2006,April,2006.292,384.61,1
2006,May,2006.375,385.03,1
2006,June,2006.458,384.05,1
2006,July,2006.542,382.46,1
2006,August,2006.625,380.41,1
2006,September,2006.708,378.85,1
2006,October,2006.792,379.13,1
2006,November,2006.875,380.15,1
2006,December,2006.958,381.82,1
2007,January,2007.042,382.89,1
2007,February,2007.125,383.9,1
2007,March,2007.208,384.58,1
2007,April,2007.292,386.5,1
2007,May,2007.375,386.56,1
2007,June,2007.458,386.1,1
2007,July,2007.542,384.5,1
2007,August,2007.625,381.99,1
2007,September,2007.708,380.96,1
2007,October,2007.792,381.12,1
2007,November,2007.875,382.45,1
2007,December,2007.958,383.94,1
2008,January,2008.042,385.52,1
2008,February,2008.125,385.82,1
2008,March,2008.208,386.03,1
2008,April,2008.292,387.21,1
2008,May,2008.375,388.54,1
2008,June,2008.458,387.76,1
2008,July,2008.542,386.37,1
2008,August,2008.625,384.09,1
2008,September,2008.708,383.18,1
2008,October,2008.792,382.99,1
2008,November,2008.875,384.19,1
2008,December,2008.958,385.56,1
2009,January,2009.042,386.94,1
2009,February,2009.125,387.48,1
2009,March,2009.208,388.82,1
2009,April,2009.292,389.55,1
2009,May,2009.375,390.14,1
2009,June,2009.458,389.48,1
2009,July,2009.542,388.03,1
2009,August,2009.625,386.11,1
2009,September,2009.708,384.74,1
2009,October,2009.792,384.43,1
2009,November,2009.875,386.02,1
2009,December,2009.958,387.42,1
2010,January,2010.042,388.71,1
2010,February,2010.125,390.2,1
2010,March,2010.208,391.17,1
2010,April,2010.292,392.46,1
2010,May,2010.375,393,1
2010,June,2010.458,392.15,1
2010,July,2010.542,390.2,1
2010,August,2010.625,388.35,1
2010,September,2010.708,386.85,1
2010,October,2010.792,387.24,1
2010,November,2010.875,388.67,1
2010,December,2010.958,389.79,1
2011,January,2011.042,391.33,1
2011,February,2011.125,391.86,1
2011,March,2011.208,392.6,1
2011,April,2011.292,393.25,1
2011,May,2011.375,394.19,1
2011,June,2011.458,393.74,1
2011,July,2011.542,392.51,1
2011,August,2011.625,390.13,1
2011,September,2011.708,389.08,1
2011,October,2011.792,389,1
2011,November,2011.875,390.28,1
2011,December,2011.958,391.86,1
2012,January,2012.042,393.12,1
2012,February,2012.125,393.86,1
2012,March,2012.208,394.4,1
2012,April,2012.292,396.18,1
2012,May,2012.375,396.74,1
2012,June,2012.458,395.71,1
2012,July,2012.542,394.36,1
2012,August,2012.625,392.39,1
2012,September,2012.708,391.11,1
2012,October,2012.792,391.05,1
2012,November,2012.875,392.98,1
2012,December,2012.958,394.34,1
2013,January,2013.042,395.55,1
2013,February,2013.125,396.8,1
2013,March,2013.208,397.43,1
2013,April,2013.292,398.41,1
2013,May,2013.375,399.78,1
2013,June,2013.458,398.6,1
2013,July,2013.542,397.32,1
2013,August,2013.625,395.2,1
2013,September,2013.708,393.45,1
2013,October,2013.792,393.7,1
2013,November,2013.875,395.16,1
2013,December,2013.958,396.84,1
2014,January,2014.042,397.85,1
2014,February,2014.125,398.01,1
2014,March,2014.208,399.77,1
2014,April,2014.292,401.38,1
2014,May,2014.375,401.78,1
2014,June,2014.458,401.25,1
2014,July,2014.542,399.1,1
2014,August,2014.625,397.03,1
2014,September,2014.708,395.38,1
2014,October,2014.792,396.03,1
2014,November,2014.875,397.28,1
2014,December,2014.958,398.91,1
2015,January,2015.042,399.98,1
2015,February,2015.125,400.28,1
2015,March,2015.208,401.54,1
2015,April,2015.292,403.28,1
2015,May,2015.375,403.96,1
2015,June,2015.458,402.8,1
2015,July,2015.542,401.31,1
2015,August,2015.625,398.93,1
2015,September,2015.708,397.63,1
2015,October,2015.792,398.29,1
2015,November,2015.875,400.16,1
2015,December,2015.958,401.85,1
2016,January,2016.042,402.56,1
2016,February,2016.125,404.12,1
2016,March,2016.208,404.87,1
2016,April,2016.292,407.45,1
2016,May,2016.375,407.72,1
2016,June,2016.458,406.83,1
2016,July,2016.542,404.41,1
2016,August,2016.625,402.27,1
2016,September,2016.708,401.05,1
2016,October,2016.792,401.59,1
2016,November,2016.875,403.55,1
2016,December,2016.958,404.45,1
2017,January,2017.042,406.17,1
2017,February,2017.125,406.46,1
2017,March,2017.208,407.22,1
2017,April,2017.292,409.04,1
2017,May,2017.375,409.69,1
2017,June,2017.458,408.88,1
2017,July,2017.542,407.12,1
2017,August,2017.625,405.13,1
2017,September,2017.708,403.37,1
2017,October,2017.792,403.63,1
2017,November,2017.875,405.12,1
2017,December,2017.958,406.81,1
2018,January,2018.042,407.96,1
2018,February,2018.125,408.32,1
2018,March,2018.208,409.41,1
2018,April,2018.292,410.24,1
2018,May,2018.375,411.24,1
2018,June,2018.458,410.79,1
2018,July,2018.542,408.71,1
2018,August,2018.625,406.99,1
2018,September,2018.708,405.51,1
2018,October,2018.792,406,1
2018,November,2018.875,408.02,1
2018,December,2018.958,409.07,1
2019,January,2019.042,410.83,1
2019,February,2019.125,411.75,1
2019,March,2019.208,411.97,1
2019,April,2019.292,413.33,1
2019,May,2019.375,414.64,1
2019,June,2019.458,413.93,1
2019,July,2019.542,411.74,1
2019,August,2019.625,409.95,1
2019,September,2019.708,408.54,1
2019,October,2019.792,408.52,1
2019,November,2019.875,410.25,1
2019,December,2019.958,411.76,1
2020,January,2020.042,413.39,1
2020,February,2020.125,414.11,1
2020,March,2020.208,414.51,1
2020,April,2020.292,416.21,1
2020,May,2020.375,417.07,1
2020,June,2020.458,416.38,1
2020,July,2020.542,414.38,1
